[0.00-5.00] 好各位
[4880.46-4883.10] 那风控能力1819年
[4883.10-4887.10] 我们就应该跟各个银行在去我们的风控能力在推一黑外袭
[4887.10-4889.98] 所以我们很精准可以知道说大家
[4889.98-4893.50] 他的他数字一个风险高的一个多股
[4893.50-4894.78] 信用可能大概是多少
[4894.78-4896.94] 所以透过上的方式
[4896.94-4899.78] 就急救很容易就因应而胜
[4899.78-4901.38] 那可是不管怎样
[4901.38-4903.70] 就是要很稳健的去去成长
[4903.70-4905.02] 那对我们来说
[4905.02-4907.90] 今年整个金融科技来说
[4907.90-4911.14] 大概拿几个公司还蛮好的一个获利
[4911.14-4914.26] 所以这个我们也可以继续的关注跟期待
[4914.26-4916.06] 那刚刚也有投资人就说
[4916.06-4917.34] 我们就告白请一天了
[4917.34-4918.50] 那还在办法说
[4918.50-4919.34] 因为对我们来说
[4919.34-4920.50] 我们就每一季
[4920.50-4923.54] 我们就是跟所有的投资人在做沟通
[4923.54-4926.34] 那包括说闭门公开
[4926.34-4928.14] 只要有任何问题
[4928.14-4930.94] 针对不管是金融科技或是消费值满价
[4930.94-4934.54] 我们都还是持续不断的跟各位来做沟通
[4934.54-4935.74] 谢谢蕾子
[4935.74-4937.74] 好谢谢
[4937.90-4942.06] 如果现场没有其他投资人提问的话
[4942.06-4945.46] 那就是我们今天的会议可能就到此结束
[4945.46-4949.06] 那也预祝我们明天再重复来的时候
[4949.06-4950.14] 能够分析成功
[4950.14-4950.94] 谢谢大家
[4950.94-4951.94] 谢谢
[4967.90-4968.90] 谢谢
